Application startup complete.
Shutting down
Waiting for application shutdown.
Application shutdown complete.
Finished server process [28204]
127.0.0.1:49909 - "GET /api/swagger HTTP/1.1" 200
127.0.0.1:49909 - "GET /api/swagger_doc.json HTTP/1.1" 200
127.0.0.1:49931 - "GET /api/swagger HTTP/1.1" 200
127.0.0.1:49931 - "GET /api/swagger_doc.json HTTP/1.1" 200
127.0.0.1:49931 - "GET /api/v1/health HTTP/1.1" 200
127.0.0.1:49932 - "GET /api/v1/users_sellers HTTP/1.1" 500
127.0.0.1:59738 - "GET /api/swagger HTTP/1.1" 200
127.0.0.1:59738 - "GET /api/swagger_doc.json HTTP/1.1" 200
127.0.0.1:59738 - "GET /api/v1/users_sellers HTTP/1.1" 500
127.0.0.1:64540 - "GET /api/v1/users_sellers HTTP/1.1" 500
127.0.0.1:64622 - "GET /api/swagger HTTP/1.1" 200
127.0.0.1:64622 - "GET /api/swagger_doc.json HTTP/1.1" 200
127.0.0.1:64622 - "GET /api/v1/users_sellers HTTP/1.1" 500
127.0.0.1:64672 - "GET /api/swagger HTTP/1.1" 200
127.0.0.1:64672 - "GET /api/swagger_doc.json HTTP/1.1" 200
127.0.0.1:64672 - "GET /api/swagger HTTP/1.1" 200
127.0.0.1:64672 - "GET /api/swagger_doc.json HTTP/1.1" 200
127.0.0.1:64672 - "GET /api/swagger HTTP/1.1" 200
127.0.0.1:64672 - "GET /api/swagger_doc.json HTTP/1.1" 200
127.0.0.1:50160 - "GET /api/swagger HTTP/1.1" 200
127.0.0.1:50160 - "GET /api/swagger_doc.json HTTP/1.1" 200
127.0.0.1:50160 - "GET /api/v1/health HTTP/1.1" 200
127.0.0.1:50717 - "GET /api/v1/users_sellers HTTP/1.1" 500
127.0.0.1:51003 - "GET /api/swagger HTTP/1.1" 200
127.0.0.1:51003 - "GET /api/swagger_doc.json HTTP/1.1" 200
127.0.0.1:51003 - "GET /api/v1/users_sellers HTTP/1.1" 500
127.0.0.1:51031 - "GET /api/v1/users_sellers HTTP/1.1" 500
127.0.0.1:51058 - "GET /api/v1/users_sellers HTTP/1.1" 500
127.0.0.1:51064 - "GET /api/v1/users_sellers HTTP/1.1" 500
127.0.0.1:51069 - "GET /api/v1/users_sellers HTTP/1.1" 500
127.0.0.1:51074 - "GET /api/v1/users_sellers HTTP/1.1" 500
127.0.0.1:51079 - "GET /api/v1/users_sellers HTTP/1.1" 500
127.0.0.1:51091 - "GET /api/swagger HTTP/1.1" 200
127.0.0.1:51091 - "GET /api/swagger_doc.json HTTP/1.1" 200
127.0.0.1:51091 - "GET /api/v1/users_sellers HTTP/1.1" 500
127.0.0.1:51103 - "GET /api/swagger HTTP/1.1" 200
127.0.0.1:51103 - "GET /api/swagger_doc.json HTTP/1.1" 200
127.0.0.1:51310 - "GET /api/swagger HTTP/1.1" 200
127.0.0.1:51310 - "GET /api/swagger_doc.json HTTP/1.1" 200
127.0.0.1:51311 - "GET /api/v1/health HTTP/1.1" 200
127.0.0.1:51311 - "GET /api/v1/users_sellers HTTP/1.1" 200
127.0.0.1:51314 - "GET /api/v1/users_sellers HTTP/1.1" 200
127.0.0.1:51314 - "GET /api/swagger HTTP/1.1" 200
127.0.0.1:51314 - "GET /api/swagger_doc.json HTTP/1.1" 200
127.0.0.1:51314 - "GET /api/v1/users_sellers HTTP/1.1" 200
127.0.0.1:51314 - "GET /api/v1/users_sellers HTTP/1.1" 200
127.0.0.1:51314 - "GET /api/v1/users_sellers HTTP/1.1" 200
127.0.0.1:51315 - "GET /api/swagger HTTP/1.1" 200
127.0.0.1:51315 - "GET /api/swagger_doc.json HTTP/1.1" 200
127.0.0.1:51315 - "GET /api/v1/users_sellers HTTP/1.1" 200
127.0.0.1:51319 - "GET /api/swagger HTTP/1.1" 200
127.0.0.1:51319 - "GET /api/swagger_doc.json HTTP/1.1" 200
127.0.0.1:51319 - "GET /api/swagger HTTP/1.1" 200
127.0.0.1:51319 - "GET /api/swagger_doc.json HTTP/1.1" 200
127.0.0.1:51319 - "GET /api/swagger HTTP/1.1" 200
127.0.0.1:51319 - "GET /api/swagger_doc.json HTTP/1.1" 200
127.0.0.1:51319 - "GET /api/swagger HTTP/1.1" 200
127.0.0.1:51319 - "GET /api/swagger_doc.json HTTP/1.1" 200
127.0.0.1:51319 - "GET /api/v1/users_sellers HTTP/1.1" 200
127.0.0.1:51326 - "GET /api/v1/users_sellers HTTP/1.1" 200
127.0.0.1:51332 - "GET /api/swagger HTTP/1.1" 200
127.0.0.1:51332 - "GET /api/swagger_doc.json HTTP/1.1" 200
127.0.0.1:51332 - "GET /api/swagger HTTP/1.1" 200
127.0.0.1:51332 - "GET /api/swagger_doc.json HTTP/1.1" 200
127.0.0.1:51332 - "GET /api/swagger HTTP/1.1" 200
127.0.0.1:51332 - "GET /api/swagger_doc.json HTTP/1.1" 200
127.0.0.1:51332 - "GET /api/swagger HTTP/1.1" 200
127.0.0.1:51332 - "GET /api/swagger_doc.json HTTP/1.1" 200
127.0.0.1:65088 - "GET /api/swagger HTTP/1.1" 200
127.0.0.1:65088 - "GET /api/swagger_doc.json HTTP/1.1" 200
127.0.0.1:65119 - "GET /api/v1/users_sellers HTTP/1.1" 500
127.0.0.1:65137 - "GET /api/v1/users_sellers HTTP/1.1" 200
127.0.0.1:65224 - "GET /api/swagger HTTP/1.1" 200
127.0.0.1:65224 - "GET /api/swagger_doc.json HTTP/1.1" 200
127.0.0.1:65225 - "GET /api/v1/context/users_sellers HTTP/1.1" 200
127.0.0.1:56841 - "GET /api/swagger HTTP/1.1" 200
127.0.0.1:56841 - "GET /api/swagger_doc.json HTTP/1.1" 200
127.0.0.1:56841 - "GET /api/swagger HTTP/1.1" 200
127.0.0.1:56841 - "GET /api/swagger_doc.json HTTP/1.1" 200
127.0.0.1:56842 - "GET /api/v1/bulka/users_sellers HTTP/1.1" 500
127.0.0.1:56872 - "GET /api/v1/bulka/users_sellers HTTP/1.1" 500
127.0.0.1:56878 - "GET /api/swagger HTTP/1.1" 200
127.0.0.1:56878 - "GET /api/swagger_doc.json HTTP/1.1" 200
127.0.0.1:56878 - "GET /api/v1/bulka/users_sellers HTTP/1.1" 500
